"Swift Air","SWIFTAIR"
"Xpress Bees","XPRESSBEES"
"Carrier","Enumerated value"
"First Logistics","FIRST_LOGISITCS"
"JNE Indonesia","JNE_IDN"
"Lion Parcel","LION_PARCEL"
"Ninjavan Indonesia","NINJAVAN_ID"
"Pandu Logistics","PANDU"
"Pos Indonesia Domestic","POS_ID"
"Pos Indonesia International","POS_INT"
"RPX Indonesia","RPX_ID"
"RPX International","RPX"
"Tiki","TIKI_ID"
"Wahana","WAHANA_ID"
"Carrier","Enumerated value"
"AN POST Ireland","AN_POST"
"DPD Ireland","DPD_IR"
"Masterlink","MASTERLINK"
"TPG","TPG"
"Wiseloads","WISELOADS"
"Carrier","Enumerated value"
"Israel Post","ISRAEL_POST"
"Carrier","Enumerated value"
"BRT Bartolini","BRT_IT"
"DHL Italy","DHL_IT"
"DMM Network","DMM_NETWORK"
"FERCAM Logistics & Transport","FERCAM_IT"
"GLS Italy","GLS_IT"
"Hermes Italy","HERMES_IT"
"Poste Italiane","POSTE_ITALIANE"
"Register Mail IT","REGISTER_MAIL_IT"
"SDA Italy","SDA_IT"
"SGT Corriere Espresso","SGT_IT"
"TNT Click Italy","TNT_CLICK_IT"
"TNT Italy","TNT_IT"
"Carrier","Enumerated value"
"DHL Japan","DHL_JP"
"Japan Post","JP_POST"
"Japan Post","JAPAN_POST"
"Pocztex","POCZTEX"
"Sagawa","SAGAWA"
"Sagawa","SAGAWA_JP"
"TNT Japan","TNT_JP"
"Yamato Japan","YAMATO"
"Carrier","Enumerated value"
"Ecargo","ECARGO"
"eParcel Korea","EPARCEL_KR"
"Korea Post","KOREA_POST"
"Korea Post","KOR_KOREA_POST"
"Korea Thai CJ","CJ_KR"
"Logistics Worldwide Korea","LOGISTICSWORLDWIDE_KR"
"Pantos","PANTOS"
"Rincos","RINCOS"
"Rocket Parcel International","ROCKET_PARCEL"
"SRE Korea","SRE_KOREA"
"Carrier","Enumerated value"
"Lietuvos Pastas","LIETUVOS_LT"
"Carrier","Enumerated value"
"Airpak","AIRPAK_MY"
"CityLink Malaysia","CITYLINK_MY"
"CJ Malaysia","CJ_MY"
"CJ Malaysia International","CJ_INT_MY"
"Cuckoo Express","CUCKOOEXPRESS"
"Jet Ship Malaysia","JETSHIP_MY"
"Kangaroo Express","KANGAROO_MY"
"Logistics Worldwide Malaysia","LOGISTICSWORLDWIDE_MY"
"Malaysia Post EMS / Pos Laju","MALAYSIA_POST"
"Nationwide","NATIONWIDE"
"Ninjavan Malaysia","NINJAVAN_MY"
"Skynet Malaysia","SKYNET_MY"
"TA-Q-BIN Parcel Malaysia","TAQBIN_MY"
"Carrier","Enumerated value"
"Correos De Mexico","CORREOS_MX"
"Estafeta","ESTAFETA"
"Mexico Aeroflash","AEROFLASH"
"Mexico Redpack","REDPACK"
"Mexico Senda Express","SENDA_MX"
"Carrier","Enumerated value"
"DHL Netherlands","DHL_NL"
"DHL Netherlands","DHL_NL"
"DHL Parcel Netherlands","DHL_PARCEL_NL"
"GLS Netherlands","GLS_NL"
"Kiala","KIALA"
"PostNL","POSTNL"
"PostNl International","POSTNL_INT"
"PostNL International 3S","POSTNL_INT_3_S"
"TNT Netherlands","TNT_NL"
"Transmission Netherlands","TRANSMISSION"
"Carrier","Enumerated value"
"Courier Post","COURIER_POST"
"Fastway New Zealand","FASTWAY_NZ"
"New Zealand Post","NZ_POST"
"Toll IPEC","TOLL_IPEC"
"Carrier","Enumerated value"
"Courier Plus","COURIERPLUS"
"NiPost","NIPOST_NG"
"Carrier","Enumerated value"
"Posten Norge","POSTEN_NORGE"
"Carrier","Enumerated value"
"2GO","TWO_GO"
"Air 21","AIR_21"
"Airspeed","AIRSPEED"
"Jam Express","JAMEXPRESS_PH"
"LBC Express","LBC_PH"
"Ninjavan Philippines","NINJAVAN_PH"
"RAF Philippines","RAF_PH"
"Xend Express","XEND_EXPRESS_PH"
"Carrier","Enumerated value"
"DHL Poland","DHL_PL"
"DPD Poland","DPD_PL"
"InPost Paczkomaty","INPOST_PACZKOMATY"
"Poczta Polska","POCZTA_POLSKA"
"Siodemka","SIODEMKA"
"TNT Poland","TNT_PL"
"Carrier","Enumerated value"
"Adicional Logistics","ADICIONAL_PT"
"Chronopost Portugal","CHRONOPOST_PT"
"Portugal PTT","CTT_PT"
"Portugal Seur","SEUR_PT"
"Carrier","Enumerated value"
"DPD Romania","DPD_RO"
"Postaromana","POSTA_RO"
"Carrier","Enumerated value"
"DPD Russia","DPD_RU"
"Russian Post","RUSSIAN_POST"
"Carrier","Enumerated value"
"Dawn Wing","DAWN_WING"
"Ram","RAM"
"The Courier Guy","THE_COURIER_GUY"
"Carrier","Enumerated value"
"Serbia Post","POST_SERBIA_CS"
"Carrier","Enumerated value"
"DHL Singapore","DHL_SG"
"JetShip Singapore","JETSHIP_SG"
"Ninjavan Singapore","NINJAVAN_SG"
"Parcel Post","PARCELPOST_SG"
"Singapore Post","SINGPOST"
"TA-Q-BIN Parcel Singapore","TAQBIN_SG"
"Carrier","Enumerated value"
"Fastway South Africa","FASTWAY_ZA"
"Carrier","Enumerated value"
"ASM","ASM_ES"
"CBL Logistics","CBL_LOGISTICA"
"Correos De Spain","CORREOS_ES"
"DHL Spain","DHL_ES"
"DHL Parcel Spain","DHL_PARCEL_ES"
"GLS Spain","GLS_ES"
"International Suer","INT_SEUR"
"ITIS","ITIS"
"Nacex Spain","NACEX_ES"
"Redur Spain","REDUR_ES"
"Spanish Seur","SEUR_ES"
"TNT Spain","TNT_ES"
"Carrier","Enumerated value"
"DB Schenker Sweden","DBSCHENKER_SE"
"DirectLink Sweden","DIRECTLINK_SE"
"PostNord Logistics","POSTNORD_LOGISTICS_GLOBAL"
"PostNord Logistics Denmark","POSTNORD_LOGISTICS_DK"
"PostNord Logistics Sweden","POSTNORD_LOGISTICS_SE"
"Carrier","Enumerated value"
"Swiss Post","SWISS_POST"
"Carrier","Enumerated value"
"Chunghwa Post","CHUNGHWA_POST"
"Taiwan Post","TAIWAN_POST_TW"
"Carrier","Enumerated value"
"Acommerce","ACOMMMERCE"
"Alphafast","ALPHAFAST"
"CJ Thailand","CJ_TH"
"FastTrack Thailand","FASTRACK"
"Kerry Express Thailand","KERRY_EXPRESS_TH"
"NIM Express","NIM_EXPRESS"
"Ninjavan Thailand","NINJAVAN_THAI"
"SendIt","SENDIT"
"Thailand Post","THAILAND_POST"
"Carrier","Enumerated value"
"PTT Posta","PTT_POST"
"Carrier","Enumerated value"
"Nova Poshta","NOVA_POSHTA"
"Nova Poshta International","NOVA_POSHTA_INT"
"Carrier","Enumerated value"
"AXL Express & Logistics","AXL"
"Continental","CONTINENTAL"
"Skynet Worldwide Express UAE","SKYNET_UAE"
"Carrier","Enumerated value"
"Airborne Express UK","AIRBORNE_EXPRESS_UK"
"Airsure","AIRSURE"
"APC Overnight","APC_OVERNIGHT"
"Asendia UK","ASENDIA_UK"
"CollectPlus","COLLECTPLUS"
"Deltec UK","DELTEC_UK"
"DHL UK","DHL_UK"
"DPD Delistrack","DPD_DELISTRACK"
"DPD UK","DPD_UK"
"Fastway UK","FASTWAY_UK"
"HermesWorld","HERMESWORLD_UK"
"Interlink Express","INTERLINK"
"MyHermes UK","MYHERMES"
"Nightline UK","NIGHTLINE_UK"
"Parcel Force","PARCELFORCE"
"Royal Mail","ROYAL_MAIL"
"RPD2man Deliveries","RPD_2_MAN"
"Skynet Worldwide Express UK","SKYNET_UK"
"TNT UK","TNT_UK"
"UK Mail","UK_MAIL"
"Yodel","YODEL"
"Carrier","Enumerated value"
"ABC Package Express","ABC_PACKAGE"
"Airborne Express","AIRBORNE_EXPRESS"
"Asendia USA","ASENDIA_US"
"Cpacket","CPACKET"
"Ensenda USA","ENSENDA"
"Estes","ESTES"
"Fastway USA","FASTWAY_US"
"Globegistics USA","GLOBEGISTICS"
"International Bridge","INTERNATIONAL_BRIDGE"
"OnTrac","ONTRAC"
"RL Carriers","RL_US"
"RR Donnelley","RRDONNELLEY"
"USPS","USPS"
"Carrier","Enumerated value"
"Kerry Express Vietnam","KERRY_EXPRESS_VN"
"Vietnam Post","VIETNAM_POST"
"Vietnam Post EMS","VNPOST_EMS"
